shopping,5,We went shopping.,
cupboard,5,The cupboard is full.,
slow down,5,Slow down please,
grandmother,5,She is my grandmother.,
expect,5,We expect rain.,
nature,5,Nature is beautiful.,
glasses,5,He wears glasses.,
customer,5,The customer is always right.,
in danger,5,They are in danger.,
scientist,5,He is a scientist.,
for example,5,For example,
return,5,Return the book.,
jumper,5,She wore a jumper.,
plastic,5,The bottle is plastic.,
call out,5,Call out for help.,
go skiing,5,Let's go skiing.,
restaurant,5,We ate at a restaurant.,
lose weight,5,He wants to lose weight.,
parrot,5,The parrot can talk.,
repeat,5,Please repeat that.,
crayon,5,Color it with a crayon.,
tired of,5,I'm tired of waiting.,
adventure,5,We went on an adventure.,
policeman,5,The policeman helped us.,
go fishing,5,Let's go fishing.,
girlfriend,5,His girlfriend is nice.,
your senses,5,Use your senses.,
weight,5,What is the weight?,
builder,5,The builder is working.,
alphabet,5,Learn the alphabet.,
grandfather,5,My grandfather is wise.,
nearly,5,It's nearly time to go.,
bicycle,5,He rides a bicycle.,
gorilla,5,A gorilla is strong.,
broccoli,5,I like broccoli.,
character,5,Who is your favorite character?,
by himself,5,He did it by himself.,
supposed to,5,You are supposed to finish.,
